year,passengers,month
1949,112,Jan
1950,115,Jan,
1951,145,Jan,
1952,171,Jan,
1953,196,Jan,
1954,204,Jan,
1955,242,Jan,
1956,284,Jan,
1957,315,Jan,
1958,340,Jan,
1959,360,Jan,
1960,417,Jan,
1949,118,Feb
1950,126,Feb
1951,150,Feb
1952,180,Feb
1953,196,Feb
1954,188,Feb
1955,233,Feb
1956,277,Feb
1957,301,Feb
1958,318,Feb
1959,342,Feb
1960,391,Feb
1949,132,Mar
1950,141,Mar
1951,178,Mar
1952,193,Mar
1953,236,Mar
1954,235,Mar
1955,267,Mar
1956,317,Mar
1957,356,Mar
1958,362,Mar
1959,406,Mar
1960,419,Mar
1949,129,Apr
1950,135,Apr
1951,163,Apr
1952,181,Apr
1953,235,Apr
1954,227,Apr
1955,269,Apr
1956,313,Apr
1957,348,Apr
1958,348,Apr
1959,396,Apr
1960,461,Apr
1949,121,May
1950,125,May
1951,172,May
1952,183,May
1953,229,May
1954,234,May
1955,270,May
1956,318,May
1957,355,May
1958,363,May
1959,420,May
1960,472,May
1949,135,Jun
1950,149,Jun
1951,178,Jun
1952,218,Jun
1953,243,Jun
1954,264,Jun
1955,315,Jun
1956,374,Jun
1957,422,Jun
1958,435,Jun
1959,472,Jun
1960,535,Jun
1949,148,Jul
1950,170,Jul
1951,199,Jul
1952,230,Jul
1953,264,Jul
1954,302,Jul
1955,364,Jul
1956,413,Jul
1957,465,Jul
1958,491,Jul
1959,548,Jul
1960,622,Jul
1949,148,Aug
1950,170,Aug
1951,199,Aug
1952,242,Aug
1953,272,Aug
1954,293,Aug
1955,347,Aug
1956,405,Aug
1957,467,Aug
1958,505,Aug
1959,559,Aug
1960,606,Aug
1949,136,Sep
1950,158,Sep
1951,184,Sep
1952,209,Sep
1953,237,Sep
1954,259,Sep
1955,312,Sep
1956,355,Sep
1957,404,Sep
1958,404,Sep
1959,463,Sep
1960,508,Sep
1949,119,Oct
1950,133,Oct
1951,162,Oct
1952,191,Oct
1953,211,Oct
1954,229,Oct
1955,274,Oct
1956,306,Oct
1957,347,Oct
1958,359,Oct
1959,407,Oct
1960,461,Oct
1949,104,Nov
1950,114,Nov
1951,146,Nov
1952,172,Nov
1953,180,Nov
1954,203,Nov
1955,237,Nov
1956,271,Nov
1957,305,Nov
1958,310,Nov
1959,362,Nov
1960,390,Nov
1949,118,Dec
1950,140,Dec
1951,166,Dec
1952,194,Dec
1953,201,Dec
1954,229,Dec
1955,278,Dec
1956,306,Dec
1957,336,Dec
1958,337,Dec
1959,405,Dec
1960,432,Dec
